storm_name,tract_geoid,distance_km,max_wind_experienced_kt,duration_in_envelope_hours,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours
KATRINA,22103041104,24.97177853163466,105.27882293009704,7.25,88.25,68.75,50.75,32.75
KATRINA,22103040102,27.375722088595385,96.87211552675598,6.5,88.25,68.75,50.75,32.75
KATRINA,22103040400,61.53517769171601,89.76772485729119,5.5,88.25,68.75,50.75,32.75
KATRINA,22103040502,51.209430692957056,93.11943949536716,6.0,88.25,68.75,50.75,32.75
KATRINA,22103040704,20.805107131523968,100.27128943866754,7.25,88.25,68.75,50.75,32.75
KATRINA,22103040801,19.86186584380139,105.31126246831832,7.25,88.25,68.75,50.75,32.75
KATRINA,22103041002,18.28014315929158,105.46411397899872,7.5,88.25,68.75,50.75,32.75
KATRINA,22103041003,17.257900600693738,105.5285492378252,7.25,88.25,68.75,50.75,32.75
KATRINA,22103041202,37.057477894943965,105.48155349384864,7.0,88.25,68.75,50.75,32.75
KATRINA,22103041300,53.56855149222378,95.7972338037324,6.5,88.25,68.75,50.75,32.75
KATRINA,22103040304,56.70689291954079,93.25061802868072,6.0,88.25,68.75,50.75,32.75
KATRINA,22103040706,10.405248887146836,100.98671503865955,7.0,88.25,68.75,50.75,32.75
KATRINA,22103041102,24.381146033997005,105.44355150689132,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022900,63.3087294743826,96.1278296786024,7.25,88.25,68.75,50.75,32.75
KATRINA,22051027810,53.64226744989314,101.76001790826614,7.75,88.25,68.75,50.75,32.75
KATRINA,22051020505,72.8212803560988,91.15266984386233,7.0,88.25,68.75,50.75,32.75
KATRINA,22051025500,50.697977187844685,103.01766512429856,8.0,88.25,68.75,50.75,32.75
KATRINA,22051022002,62.98117447877778,96.24739949499264,7.25,88.25,68.75,50.75,32.75
KATRINA,22051025800,50.35668538425104,102.997095409344,7.75,88.25,68.75,50.75,32.75
KATRINA,22051020302,65.82801262906219,94.63043961176808,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021200,70.83176738716428,92.19854458909823,7.0,88.25,68.75,50.75,32.75
KATRINA,22051023003,66.17613524052076,94.61902507423312,7.25,88.25,68.75,50.75,32.75
KATRINA,22051024500,62.60916342208118,96.59670064178536,7.5,88.25,68.75,50.75,32.75
KATRINA,22051020101,58.70552175556332,98.24372837582057,7.25,88.25,68.75,50.75,32.75
KATRINA,22051020102,60.54539936316768,97.3225026766074,7.25,88.25,68.75,50.75,32.75
KATRINA,22051020202,62.506167228700576,96.37315198402864,7.25,88.25,68.75,50.75,32.75
KATRINA,22051020511,72.75443273865544,91.07393486204624,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021400,68.67907663592798,93.22384937048902,7.0,88.25,68.75,50.75,32.75
KATRINA,22051022303,58.25690818875573,98.53599868173865,7.25,88.25,68.75,50.75,32.75
KATRINA,22051024300,63.86025212931431,95.9592713951406,7.5,88.25,68.75,50.75,32.75
KATRINA,22051025003,47.401066255265526,104.74797028343528,8.0,88.25,68.75,50.75,32.75
KATRINA,22051020201,61.76823922645696,96.73423252381886,7.25,88.25,68.75,50.75,32.75
KATRINA,22051020203,63.452198363934414,95.8682593510572,7.25,88.25,68.75,50.75,32.75
KATRINA,22117951000,28.645036960437466,90.69696817888018,6.25,91.5,72.0,54.0,36.0
KATRINA,22117950700,31.78592665620418,88.58067240332883,6.0,91.5,72.0,54.0,36.0
KATRINA,22117950800,26.40096426508532,88.59115538738637,6.25,91.5,72.0,54.0,36.0
KATRINA,22117950600,40.98127075021647,90.17223665733172,6.0,91.5,72.0,54.0,36.0
KATRINA,22117950400,73.61959691517085,63.03323896735759,3.25,91.5,72.0,54.0,36.0
KATRINA,22117950300,62.719165034947856,76.43905428723113,3.75,91.5,72.0,54.0,36.0
KATRINA,22117950200,51.15316771514417,81.1870106426579,4.5,91.5,72.0,54.0,36.0
KATRINA,22051020301,67.82862636272878,93.60254525120313,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020303,66.72019134548624,94.22011662250388,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020400,68.88365422112585,93.07726376986572,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020502,71.39876210690296,91.79691673853551,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020506,70.41930666334781,92.35570638824694,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020507,72.86126552490725,91.1041175922446,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020508,74.52437457101169,90.19483469153234,6.75,88.25,68.75,50.75,32.75
KATRINA,22051020512,72.76916626511468,91.10747840733674,7.0,88.25,68.75,50.75,32.75
KATRINA,22117950900,29.176067374069984,89.08694718142638,6.25,91.5,72.0,54.0,36.0
KATRINA,22117950500,60.49489138223059,82.19934111944158,4.5,91.5,72.0,54.0,36.0
KATRINA,22063040902,112.23815897783828,71.48044514085089,2.25,88.25,68.75,50.75,32.75
KATRINA,22063040100,112.866347122511,66.82400029759961,1.0,88.25,68.75,50.75,32.75
KATRINA,22051021801,64.93870491035906,95.14371153963113,7.25,88.25,68.75,50.75,32.75
KATRINA,22051020513,70.58010190272641,92.19592773633434,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020514,69.75688159139636,92.6108776733277,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020600,73.59645904760691,90.79387083987837,7.0,88.25,68.75,50.75,32.75
KATRINA,22051020700,74.0235425558811,90.67143575103822,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021000,71.38949836008148,91.99330160014358,7.25,88.25,68.75,50.75,32.75
KATRINA,22051021100,71.05516944068575,92.12250904264448,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021300,69.49449350331786,92.8610951829204,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021500,68.46283575951729,93.36619394832488,7.0,88.25,68.75,50.75,32.75
KATRINA,22051021600,67.38733610629626,93.95489177162214,7.25,88.25,68.75,50.75,32.75
KATRINA,22051021700,66.47259585854096,94.38174872022329,7.25,88.25,68.75,50.75,32.75
KATRINA,22051021900,63.15414110676152,96.08887239092604,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022001,62.471721105320775,96.45409708211466,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022101,60.871657865557694,97.20596666998756,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022102,61.19815352176168,97.09951750682572,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022400,59.19697473713052,98.13812444404977,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022200,59.90406780026707,97.7042578582662,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022301,58.9041016974544,98.20404713493166,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022302,58.69654268131798,98.36678519746476,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023300,67.38759459696357,94.0164712708631,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022500,60.27035010298355,97.58789447215769,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022600,60.41917619176532,97.57504253395304,7.5,88.25,68.75,50.75,32.75
KATRINA,22051022700,61.3487362386253,97.0846152208116,7.25,88.25,68.75,50.75,32.75
KATRINA,22051022800,62.16381110499393,96.67948984606832,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023001,63.760450955621735,95.84976565485822,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023002,64.8715751665993,95.28292275888344,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023100,64.86586618063293,95.33250344537063,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023200,66.82202253449292,94.33322010265982,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023400,67.77951295761093,93.7907524929605,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023902,68.0795536287766,93.78824925219008,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023500,69.4045052118356,92.97059024268133,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023600,69.39423460386595,93.01755045207852,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023700,69.2880136980167,93.10006324386512,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023800,70.13033437892166,92.70791442224854,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023901,67.68618041754708,94.03527329814506,7.5,88.25,68.75,50.75,32.75
KATRINA,22051023903,68.65133176426245,93.4627901996164,7.25,88.25,68.75,50.75,32.75
KATRINA,22051023904,69.02689299741917,93.35728525187452,7.25,88.25,68.75,50.75,32.75
KATRINA,22071000300,49.89190759653062,103.18266615070448,7.75,88.25,68.75,50.75,32.75
KATRINA,22051024001,67.41264243098686,94.22238950024784,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024002,66.98665053229078,94.49293784968764,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024100,66.83172473740343,94.48370624138865,7.5,88.25,68.75,50.75,32.75
KATRINA,22071000604,46.66699646520344,104.88582757926464,7.75,88.25,68.75,50.75,32.75
KATRINA,22071009600,54.42819986058334,100.98749894179444,7.75,88.25,68.75,50.75,32.75
KATRINA,22071004401,53.09814954191941,101.37540233991936,7.5,88.25,68.75,50.75,32.75
KATRINA,22071000200,50.26541852717651,102.9605903824553,7.75,88.25,68.75,50.75,32.75
KATRINA,22071000400,49.16879671071735,103.51783839920049,7.75,88.25,68.75,50.75,32.75
KATRINA,22051025001,46.373031209326186,105.29470307577198,8.0,88.25,68.75,50.75,32.75
KATRINA,22071000601,48.998658319342624,103.69154342686936,7.75,88.25,68.75,50.75,32.75
KATRINA,22071000603,47.28460511939996,104.5865390439664,7.75,88.25,68.75,50.75,32.75
KATRINA,22051024400,63.05573934262469,96.31979908322896,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024600,61.84254656054876,96.92523490535186,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024700,61.31456095912832,97.23001492836872,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024800,59.57471124344677,98.03730624608042,7.5,88.25,68.75,50.75,32.75
KATRINA,22051024900,60.00528813339149,97.90327013873474,7.5,88.25,68.75,50.75,32.75
KATRINA,22071005602,55.9411981267373,99.67661154070704,7.5,88.25,68.75,50.75,32.75
KATRINA,22051025002,47.600425543803496,104.54513867474996,8.0,88.25,68.75,50.75,32.75
KATRINA,22051025102,48.76817400752541,104.1264007966265,8.0,88.25,68.75,50.75,32.75
KATRINA,22051025103,47.44494612322043,104.82276063087107,8.0,88.25,68.75,50.75,32.75
KATRINA,22071006000,54.11448992358479,100.9288003365485,7.5,88.25,68.75,50.75,32.75
KATRINA,22071006300,54.6857058412996,100.58407386709128,7.5,88.25,68.75,50.75,32.75
KATRINA,22071006500,56.407538672289256,99.65135899413316,7.5,88.25,68.75,50.75,32.75
KATRINA,22071005603,56.93687587509977,99.23885833702518,7.25,88.25,68.75,50.75,32.75
KATRINA,22071005604,56.10867975292795,99.6668413514612,7.25,88.25,68.75,50.75,32.75
KATRINA,22051025900,51.265887306896666,102.61337691364716,7.75,88.25,68.75,50.75,32.75
KATRINA,22071013302,51.14332159651651,101.97931637876486,7.5,88.25,68.75,50.75,32.75
KATRINA,22071008400,53.48523515140501,101.37684461964926,7.75,88.25,68.75,50.75,32.75
KATRINA,22071013000,58.67385990039881,98.6290963705766,7.5,88.25,68.75,50.75,32.75
KATRINA,22051025104,47.63195528032909,104.7875222257992,8.0,88.25,68.75,50.75,32.75
KATRINA,22051025201,48.6471263256194,103.97490789096628,8.0,88.25,68.75,50.75,32.75
